identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_ясли_6554-16	1992-2016_ясли_6555-16	0	1		ясли
1700-1916_ясли_6602-16	1992-2016_ясли_6603-16	0	1		ясли
1700-1916_ясли_6566-16	1992-2016_ясли_6567-16	0	4		ясли
1700-1916_ясли_6604-16	1992-2016_ясли_6605-16	0	4		ясли
1700-1916_ясли_6564-16	1992-2016_ясли_6565-16	0	1		ясли
1700-1916_ясли_6606-16	1992-2016_ясли_6607-16	0	1		ясли
1700-1916_ясли_6562-16	1992-2016_ясли_6563-16	0	1		ясли
1700-1916_ясли_6608-16	1992-2016_ясли_6609-16	0	4		ясли
1700-1916_ясли_6560-16	1992-2016_ясли_6561-16	0	1		ясли
1700-1916_ясли_6558-16	1992-2016_ясли_6559-16	0	1		ясли
1700-1916_ясли_6612-16	1992-2016_ясли_6613-16	0	1		ясли
1700-1916_ясли_6556-16	1992-2016_ясли_6557-16	0	1		ясли
1700-1916_ясли_6568-16	1992-2016_ясли_6569-16	0	4		ясли
1700-1916_ясли_6584-16	1992-2016_ясли_6585-16	0	4		ясли
1700-1916_ясли_6582-16	1992-2016_ясли_6583-16	0	1		ясли
1700-1916_ясли_6586-16	1992-2016_ясли_6587-16	0	4		ясли
1700-1916_ясли_6598-16	1992-2016_ясли_6599-16	0	1		ясли
1700-1916_ясли_6600-16	1992-2016_ясли_6601-16	0	1		ясли
1700-1916_ясли_6594-16	1992-2016_ясли_6595-16	0	1		ясли
1700-1916_ясли_6574-16	1992-2016_ясли_6575-16	0	1		ясли
1700-1916_ясли_6580-16	1992-2016_ясли_6581-16	0	1		ясли
1700-1916_ясли_6596-16	1992-2016_ясли_6597-16	0	2		ясли
1700-1916_ясли_6592-16	1992-2016_ясли_6593-16	0	1		ясли
1700-1916_ясли_6576-16	1992-2016_ясли_6577-16	0	1		ясли
1700-1916_ясли_6590-16	1992-2016_ясли_6591-16	0	1		ясли
1700-1916_ясли_6578-16	1992-2016_ясли_6579-16	0	1		ясли
1700-1916_ясли_6610-16	1992-2016_ясли_6611-16	0	2		ясли
1700-1916_ясли_6588-16	1992-2016_ясли_6589-16	0	4		ясли
1700-1916_ясли_6570-16	1992-2016_ясли_6571-16	0	1		ясли
1700-1916_ясли_6572-16	1992-2016_ясли_6573-16	0	4		ясли
1700-1916_ясли_6566-16	1992-2016_ясли_6567-16	1	4		ясли
1700-1916_ясли_6564-16	1992-2016_ясли_6565-16	1	1		ясли
1700-1916_ясли_6570-16	1992-2016_ясли_6571-16	1	1		ясли
1700-1916_ясли_6582-16	1992-2016_ясли_6583-16	1	1		ясли
1700-1916_ясли_6580-16	1992-2016_ясли_6581-16	1	1		ясли
1700-1916_ясли_6562-16	1992-2016_ясли_6563-16	1	1		ясли
1700-1916_ясли_6558-16	1992-2016_ясли_6559-16	1	1		ясли
1700-1916_ясли_6556-16	1992-2016_ясли_6557-16	1	1		ясли
1700-1916_ясли_6576-16	1992-2016_ясли_6577-16	1	2		ясли
1700-1916_ясли_6560-16	1992-2016_ясли_6561-16	1	1		ясли
1700-1916_ясли_6568-16	1992-2016_ясли_6569-16	1	1		ясли
1700-1916_ясли_6572-16	1992-2016_ясли_6573-16	1	4		ясли
1700-1916_ясли_6574-16	1992-2016_ясли_6575-16	1	1		ясли
1700-1916_ясли_6610-16	1992-2016_ясли_6611-16	1	1		ясли
1700-1916_ясли_6598-16	1992-2016_ясли_6599-16	1	2		ясли
1700-1916_ясли_6554-16	1992-2016_ясли_6555-16	1	1		ясли
1700-1916_ясли_6596-16	1992-2016_ясли_6597-16	1	1		ясли
1700-1916_ясли_6594-16	1992-2016_ясли_6595-16	1	1		ясли
1700-1916_ясли_6592-16	1992-2016_ясли_6593-16	1	1		ясли
1700-1916_ясли_6588-16	1992-2016_ясли_6589-16	1	4		ясли
1700-1916_ясли_6586-16	1992-2016_ясли_6587-16	1	4		ясли
1700-1916_ясли_6590-16	1992-2016_ясли_6591-16	1	1		ясли
1700-1916_ясли_6584-16	1992-2016_ясли_6585-16	1	4		ясли
1700-1916_ясли_6612-16	1992-2016_ясли_6613-16	1	1		ясли
