	word	sent1	sent2	mean	annotator1	annotator2	annotator3
0	авторитет	Он <b><i>авторитет</i></b> для них.	"Бердяев верно отметил: ""здесь, у славянофилов, была гениальность свободы, -- там, у традиционалистов, гениальность <b><i>авторитета</i></b>""."	3.0	4	2	3
1	авторитет	Но был ли это <b><i>авторитет</i></b> любви -- вот вопрос Входило ли в этот <b><i>авторитет</i></b> сколько-нибудь ее обаятельного обмана, того лестного ослепления, в котором женщина готова жестоко ошибиться и быть счастлива ошибкой..	<b><i>Авторитет</i></b> Гоца был неоспорим, и нас избрали.	3.3333333333333335	4	3	3
2	авторитет	Нет ни одного учителягимназии, ни одного уездного учителя, который бы не был под <b><i>авторитетом</i></b> русского запада, который бы не знал наизусть письма Белинского к Гоголю, и под их руководством воспитываются новые поколения.	Но я -- правда, с большими колебаниями -- еще держался и продолжал производить свои очередные опыты, несмотря на то, что они в большинстве случаев были ошибочны, несмотря на то, что ради них уходил от меня мой актерский и режиссерский <b><i>авторитет</i></b>.	3.6666666666666665	4	4	3
3	авторитет	"Поддерживая по завету Библии <b><i>авторитет</i></b> врача-специалиста и являясь к постели больного, чтобы помочь ему, по завету апостола, ""молитвой веры"", каждый иерей будет исполнять свое святое дело и сохранит спокойную совесть!.."	"""Отсюда ее безусловный <b><i>авторитет</i></b>: не сама по себе соборная внешняя форма, но Дух Святой, ясно в ней проявляющейся Своими дарами и внушениями."	3.6666666666666665	4	4	3
4	авторитет	В то время им и в голову не приходило, что они-то, стоящие на недосягаемой высоте академического <b><i>авторитета</i></b>, они-то, собственно, и были побеждены, свержены с пьедестала, что с этого рокового выхода из Академии молодых художественных сил значение их было подорвано и уничтожено навсегда.	Эти скромнее держались: в годы правления Неведова они были еще молодыми и сохранили к нему почтительность, запомнили его как <b><i>авторитет</i></b>.	3.6666666666666665	4	4	3
5	авторитет	Фактически Лютер давно уже признавал единственным <b><i>авторитетом</i></b> Священное Писание, но в то же время не хотел еще отказаться от согласия с церковью.	"Злоупотреблять чересчур частым обращением к этому <b><i>авторитетному</i></b> учреждению не следует; от этого лишь пострадает его <b><i>авторитет</i></b>, а острое ""лезвие"" арбитража от чрезмерно частого употреблении также может притупиться."	2.3333333333333335	2	1	4
6	авторитет	"Любопытен, однако, анекдот, ходивший тогда по городу: Ф. В. Булгарин, по чувству самосохранения, скоро угадал новую силу, являющуюся на журнальном поприще с ""Отечественными записками"", и опасность, которая грозит <b><i>авторитетам</i></b> колонновожатых печати, если она решительно обратится против них."	Ренессансный канон был враждебен вере в <b><i>авторитет</i></b> как догмату феодально-церковной культуры.	2.6666666666666665	4	2	2
7	авторитет	Я отстаивала свою самостоятельность, он -- свой <b><i>авторитет</i></b>.	"Но уже тогда Генка Комов, известный более под именем ""Капитан"", пользовался неограниченным <b><i>авторитетом</i></b> у Поля Гнедых и Александра Костылина."	4.0	4	4	4
8	авторитет	При моем поступлении в роту подпрапорщиков оказалось, к счастью, что воспитанники старшего ее класса, пользовавшиеся наибольшим влиянием на своих товарищей, были юноши вполне порядочные, с добрыми сердечными качествами, да к тому же обладавшие <b><i>авторитетом</i></b> немалой физической силы; так что приставаний, имевших жестокий характер, в пехоте почти совсем не было.	С одной стороны, сознание ответственности перед страной и народом, сочетание социалистической убежденности, в наличии которой у Дейча сомневаться никак нельзя, с патриотизмом; Дейч, в неисправимой наивности марксиста старой школы, все время ссылался на <b><i>авторитет</i></b> Плеханова, который для слушавшей солдатской массы был совершенно пустым местом.	2.3333333333333335	1	3	3
9	авторитет	"Он не любил уже в то время французской литературы, да не имел большой симпатии и к самому народу за ""моду, которую они ввели по Европе"", как он говорил: ""быстро создавать и тотчас же, по-детски, разрушать <b><i>авторитеты</i></b>""."	"Полагаясь больше на <b><i>авторитет</i></b> власти, чем на свой, она кинулась навстречу городовому; бежала и кричала изо всей силы ""караул!""."	3.6666666666666665	4	3	4
10	авторитет	-- Понимаете! -- говорил он мне, -- не поклон их мне нужен, а нужно убеждение, что они сознают свои обязанности относительно меня, что мой <b><i>авторитет</i></b>, en un mot... vous comprenez И вот он принялся утверждать свой <b><i>авторитет</i></b> между загибаловскими мужиками или, сказать проще, начал дразнить мужиков.	Унтер-офицеры потеряли свой <b><i>авторитет</i></b>, и их вытеснили солдаты из петербургской молодежи, хулиганы, карманные воришки, мелкие рабочие, умевшие ловить рыбу в мутной воде, отлично знавшие Петербург со всеми его притонами и злачными местами и готовые на всякое озорство.	3.6666666666666665	3	4	4
11	авторитет	"Чиновник, целое утро, каналья, подличавший перед начальством, вечером придет в гости и засыплет сейчас фразами о том, что ""<b><i>авторитетов</i></b> нет и не должно быть""."	Никогда не стоял так высоко <b><i>авторитет</i></b> церковных канонов и церковного устава для верующих, как именно сейчас.	3.6666666666666665	3	4	4
12	авторитет	"""Во-вторых, -- писал он, тихонько шепча слова, -- тот же Опимахов позволяет себе пренебрегать положениями некоторых циркуляров Министерства Народного Просвещения и иными правительственными указаниями, побуждая и сам первый подавая пример подведомственным ему молодым учителям, якобы к расширению программы (sic!), а на самом деле -- к возбуждению в доверчивых умах юношей превратных и гибельных идей, клонящихся к разрушению добрых нравов, к возбуждению политических страстей, к низвержению <b><i>авторитета</i></b> власти и, в сущности, к самому гнилому и пошлому социализму."	"А между тем, то, что в данном случае яко бы ""доказано"", доказано не Шахматовым-лингвистом, а Шахматовым-историком, который в глазах настоящего специалиста-историка, конечно, не мог бы иметь такого <b><i>авторитета</i></b>, как Шахматов-лингвист."	3.6666666666666665	4	4	3
13	авторитет	Заметно было, что насколько все покорялись его нравственному <b><i>авторитету</i></b>, настолько же старались избежать резких его замечаний, на которые он так же мало скупился в кругу родных, как и в кругу друзей.	По существу -- и каждый хорошо это понимал -- в основе апологии Ивана IV лежало личное мнение человека, непререкаемый <b><i>авторитет</i></b> которого делал ненужными какие-либо аргументы, доказательства и ссылки на источники.	3.6666666666666665	4	3	4
14	авторитет	"Мне неизвестно, заимствовал ли Бонне свой взгляд на ""производные"" виды у Линнея, но несомненно, что высказанная обоими теория образования видов путем ублюдков не нашла большого сочувствия и, напротив, встретила отпор со стороны такого <b><i>авторитета</i></b>, как Паллас."	Выросли <b><i>авторитет</i></b> и влияние большевистской партии.	3.6666666666666665	4	4	3
15	авторитет	"Здесь абсолютной ценностью признается не цель или идеал, а само служение им; и если штирнеровский вопрос ""почему ""я"" менее ценно, чем ""ты"", и должно приноситься ему в жертву"" остается без ответа, то, в предупреждение подобных дерзких недоумений, нравственная практика именно и окружает себя тем более мистическим и непреложным <b><i>авторитетом</i></b>."	<b><i>Авторитет</i></b> и популярность Олимпийских игр среди молодежи мы стремимся использовать как можно полнее для развития нашего массового физкультурного движения, проводя различные состязания внутри страны.	3.0	3	3	3
16	авторитет	Они кричат, что за них <b><i>авторитеты</i></b>, что за них Европа.	"К сожалению, у кандидатов в гегемоны не оказалось необходимого в их положении высокого художественного <b><i>авторитета</i></b>: и по формальному мастерству, и по разнообразию замыслов, и по количеству талантов -- несомненный перевес был на стороне ""попутчиков"", ""пасомые"" оказались выше ""пастырей""."	1.3333333333333333	1	2	1
17	авторитет	Сам г. Бетлинк в книге своей не берет на себя основательного знания этого языка и ссылается на другие <b><i>авторитеты</i></b>.	"Вместе с идейной и организационной спайкой делала свое дело ""сила привычки"", росла популярность и продолжал закрепляться чисто моральный <b><i>авторитет</i></b> Совета как ""собственной"" организации и прибежища в тяготах жизни."	1.6666666666666667	3	1	1
18	авторитет	Вам пишу потому, что Вы у меня спрашиваете, -- а вообще, что я за <b><i>авторитет</i></b> в газетном деле, чтобы навязывать свои мнения людям, меня лично не знающим.	Но тот факт, что Франция, после победы над Германией, не сумела хорошо вооружиться, не сумела обуздать партии, которые подрывали моральный <b><i>авторитет</i></b> ее, доказывает, что она находится в глубоком упадке и что только единственно может спасти ее от полного морального и физического распада коммунизм.	2.3333333333333335	3	1	3
19	авторитет	Чем кто короче делал ружейные приемы, чем красивее маршировал, -- тем большим <b><i>авторитетом</i></b> пользовался в своей роте.	Но Бликин уже не был <b><i>авторитетом</i></b> для Чубасова.	3.3333333333333335	2	4	4
20	авторитет	Вследствие этого началось побоище; жена его со страшной руганью вступилась за мужа и сковородником пробила головы нескольким крестьянам, а муж за то, что баба вмешалась не в свое дело, перерубил топором ей ногу, и чем бы это кончилось, неизвестно, но мне дали знать, и я своим стариковским <b><i>авторитетом</i></b> остановил освирепевшую толпу.	Отдавая должное высокому <b><i>авторитету</i></b> Абдергальдена, мы приветствуем его решение игнорировать наши последующие работы, так как это предохранит нас от несправедливых нападок.	4.0	4	4	4
21	авторитет	"Спрашиваю: ""что отчего"" -- ""Да ведь это величина фельетона, куда же тут"" Лицо ""со стороны"" не может поместить более 200 и, самое большее, 300 строк, какая бы подпись под статьей ни стояла, каким бы весом ни пользовалось лицо в администрации, каков бы ни был его ученый <b><i>авторитет</i></b>."	Мы, исходя из мнений медицинских <b><i>авторитетов</i></b>, даем нашим рабочим, кроме воскресного отдыха, каждую неделю еще день развлечений на воздухе и сочли ненужным отменять этот праздник, хотя рабочие и выражали пламенное желание видеть вас.	3.3333333333333335	4	2	4
22	авторитет	Приобретя, и совершенно законно, безусловный <b><i>авторитет</i></b> у себя дома, в тесной революционной семье, Исполнительный комитет совершенно упустил из виду, что никакая подпольная организация, состоящая по самому существу из людей, стране абсолютно неизвестных, не может претендовать на доверие сколько-нибудь значительной массы своих сограждан.	Но что-то начало происходить с его <b><i>авторитетом</i></b> в середине девятого класса.	3.6666666666666665	4	3	4
23	авторитет	А когда доходило до серьезного дела, она другим голосом и другими глазами, нежели как обыкновенно, предъявляла свой <b><i>авторитет</i></b>, -- и он хотя сначала протестовал, но потом сдавался, если требование ее было благоразумно.	К тому же где Индия и где горемычная Калмыкия Этакое расстояние саженью не изморить -- этакое время, казалось, и календарю по подвластно, -- где тот далекий год, когда испарились в небытие эти сказки Но вот что схоже с дивом, и это свидетельствует своим <b><i>авторитетом</i></b> ученый: сказки отыскались в Калмыкии.	4.0	4	4	4
24	авторитет	Кнох, несмотря на уважение к <b><i>авторитету</i></b> Боткина, начинает сомневаться в гумозном характере болезни и настаивает на абсцессе в печени.	И <b><i>авторитет</i></b> нового управляющего сразу вырос.	4.0	4	4	4
