NaN	word	sent1	sent2	mean	annotator1	annotator2	annotator3
0	авторитет	Нет ни одного учителягимназии, ни одного уездного учителя, который бы не был под <b><i>авторитетом</i></b> русского запада, который бы не знал наизусть письма Белинского к Гоголю, и под их руководством воспитываются новые поколения.	"Бывший ""виленец"" и выпускник Академии генерального штаба (по 1-му разряду), известный <b><i>авторитет</i></b> в военной педагогике Крейчман был душой училища, дослужившись в нём от штабс-капитана до полковника и орденов Св."	3.0	3	4	2
1	авторитет	Об этом Вендрихе я должен сказать несколько слов, потому что он в последние годы играл очень выдающуюся роль, да и до сих пор его имя в известных кругах пользуется некоторым <b><i>авторитетом</i></b>.	Власть, <b><i>авторитет</i></b> и влияние Лили Юрьевны, которым всецело подчинялся Маяковский, были так велики, что они распространялись и на его возлюбленных.	3.0	4	1	4
2	авторитет	Еще менее кто-либо мог понять, какие интересы русские могли побудить 8 лет спустя на Венском конгрессе весь свой <b><i>авторитет</i></b> и весь свой престиж употребить только на усиление маленькой Пруссии.	"Силовики, напуганные падением своего <b><i>авторитета</i></b> после ""операции с оборотнями"" или даже перед ней, предчувствуя развитие событий, потребовали восстановить равновесие, и Платон Лебедев пал запланированной жертвой во имя сохранения общественного согласия."	3.6666666666666665	4	3	4
3	авторитет	Тотлебен хотя крайне тяжел и едва ли будет приятен для князя Карла, но, по крайней мере, будет иметь <b><i>авторитет</i></b> как по своей боевой репутации, так и по опытности в том именно деле, к которому теперь призван.	Однако, видимо, предчувствуя, что <b><i>авторитета</i></b> зама может не хватить, на защиту документа встал сам министр.	3.6666666666666665	4	3	4
4	авторитет	Единственный выход из него для них -- надежда на то, что, пользуясь <b><i>авторитетом</i></b> церкви, древности, святости, можно запугать читателя, своим умом обдумать вопрос.	Высоко взлетел в мире <b><i>авторитет</i></b> России.	3.6666666666666665	4	4	3
5	авторитет	Ротмистр трижды на своем веку был разжалован за дела чести и трижды выслуживался; он был <b><i>авторитетом</i></b> рыцарства в офицерском кругу.	"Серж Тригано: ""Психологическое давление было очень велико, лишь постепенно мне удалось завоевать доверие и <b><i>авторитет</i></b>""."	3.0	3	3	3
6	авторитет	В сущности, ошибка произошла оттого, что назначенный для преследования турок донской генерал Чернов не имел достаточно <b><i>авторитета</i></b>, чтобы заставить слушать себя титулованного командира фешенебельного гвардейского полка, отданного ему под команду.	И тут возник свой (на время) литературно-критический <b><i>авторитет</i></b>: Дмитрий Галковский.	2.3333333333333335	2	4	1
7	авторитет	"К концу 1886 года в беседе со мной А. К. Гирс, министр иностранных дел, охарактеризовал это положение Александра III так: ""Он, оказалось, перехитрил Бисмарка, -- сказал Гирс, -- строившего свой коварный план на прогулке русских войск в Болгарию, и вот положение, которое Александр III своей politique d'abstention создал: Англия изолировалась, Австрия, в восточном вопросе отшитая Бисмарком от Германии, признала для себя политику полного невмешательства обязательной и в то же время признала опасение какого-нибудь движения России к Балканскому полуострову возможным; Турция с нами сошлась, -- и Россия стала нравственным <b><i>авторитетом</i></b> сильнее всех европейских держав."	По его словам, в 1995 году Кобзон собрал в Пуэрто-Рико <b><i>авторитетов</i></b> преступного мира с целью разработать план по криминальному переделу нашей планеты.	1.0	1	1	1
8	авторитет	Преобразователь знал, с кем и с чем имеет дело, знал, как трудно сдвинуть народ с вековых привычек даже и в том случае, когда христианскому народу предлагалось вести летосчисление от Рождества Начальника веры и спасения; нужно было ослабить отталкивающий пример немцев, еретиков, и вот впервые пред русским народом выставляется пример, <b><i>авторитет</i></b> народов близких, родных, пример православных славян.	"Пользовался у них непререкаемым <b><i>авторитетом</i></b>, о таких в народе говорят: ""Настоящий пахарь""."	3.6666666666666665	3	4	4
9	авторитет	Когда обрушилась Западная Римская империя и на Европу хлынул поток варваров, то сама история для всякого, кто имел какой-нибудь <b><i>авторитет</i></b>, силу, мудрость и святость в себе, поставила задачею: заботу, устроение обломков как бы крушившегося поезда.	"Собеседник выделил голосом слово ""<b><i>авторитет</i></b>"", намекая на его особенное значение в здешнем тюремном государстве."	1.0	1	1	1
10	авторитет	Выписки из Белинского предупреждают возможность такого сомнения и придают мыслям, которые должны быть считаемы справедливыми, <b><i>авторитет</i></b>, который немногие решатся отвергать.	"Впрочем, для многих ""народ"", как и в XIX веке, -- по-прежнему святыня, верховный <b><i>авторитет</i></b> и непогрешимый судия."	3.0	2	3	4
11	авторитет	Несколько позже этот вопрос был разработан базельским профессором Рютимейером, одним из первых <b><i>авторитетов</i></b> в рассматриваемом направлении.	В Эльзе она видела глубоко родного, очень близкого и любимого человека -- и в то же время соперницу в <b><i>авторитете</i></b>, на пути к славе и в отношениях с людьми.	2.6666666666666665	4	3	1
12	авторитет	Мы знаем, что и нравственный <b><i>авторитет</i></b> в этом деле -- непозволительное средство.	"Конфронтация с националистическими ""<b><i>авторитетами</i></b>"" не сделала эти окрестности популярными и у правительства Чан Кай-ши."	2.3333333333333335	1	2	4
13	авторитет	На помощь потрясенным <b><i>авторитетам</i></b> явилась физическая сила и одержала верх в Париже, в Вене, во Франкфурте и в Берлине.	Госсекретарь пользуется в Америке огромным <b><i>авторитетом</i></b> прежде всего именно потому, что никогда не говорит того, во что не верит сам.	2.3333333333333335	4	1	2
14	авторитет	Вся деятельность его, до тех пор, впрочем, подчиненная другого рода <b><i>авторитету</i></b>, -- именно <b><i>авторитету</i></b> рутины, -- с тоскливым кривляньем полезла в рамки и в клетки схоластики, тяготевшие до того времени исключительно над отвлеченным исследованием мировой жизни.	Слава Иоффе -- местный <b><i>авторитет</i></b>, приятель моих старших братьев, бывшая послевоенная шпана, ныне коммерсант в <b><i>авторитете</i></b>.	2.0	1	2	3
15	авторитет	При всем этом мы полагали опираться на собственное сознание наших читателей -- ultimum argumentum в психологии, перед которым бессильны всякие <b><i>авторитеты</i></b>, хотя бы они были озаглавлены громкими именами Аристотеля, Декарта, Бэкона, Локка.	Молчание Солженицына и его нежелание высказываться о делах в СССР привело к тому, что и в нашей стране быстрое развитие гласности и относительной свободы слова и печати привело к появлению новых имен и <b><i>авторитетов</i></b>.	3.0	4	3	2
